unix,low,high,open,close,volume,date
1600646400,41.64,47.68,47.1,43.13,227727.68419327,2020-09-21
1600560000,46.2,48.52,48.49,47.09,93632.44447626,2020-09-20
1600473600,47.98,48.99,48.55,48.48,56194.76243016,2020-09-19
1600387200,47.5,49.11,48.88,48.55,102583.85681777,2020-09-18
1600300800,47.65,49.62,47.73,48.88,95184.10095997,2020-09-17
1600214400,47.0,48.76,48.32,47.74,117954.97407004,2020-09-16
1600128000,48.14,50.33,49.08,48.3,139830.52041119,2020-09-15
1600041600,47.15,49.66,48.19,49.1,221446.07854631,2020-09-14
1599955200,47.31,51.05,50.85,48.18,135220.91970029,2020-09-13
1599868800,48.4,51.31,48.99,50.85,123427.37249075,2020-09-12
1599782400,47.44,49.4,48.74,48.98,106044.69618162,2020-09-11
1599696000,47.81,49.49,47.81,48.71,123417.05048315,2020-09-10
1599609600,46.55,48.86,47.47,47.86,118636.19223461,2020-09-09
1599523200,46.0,49.36,48.88,47.49,159074.566176,2020-09-08
1599436800,45.31,49.16,47.89,48.88,181580.72302902,2020-09-07
1599350400,46.3,49.17,47.83,47.94,156230.93393026,2020-09-06
1599264000,45.14,51.07,50.76,47.83,334390.52556155,2020-09-05
1599177600,46.51,52.43,50.06,50.76,327758.79085871,2020-09-04
1599091200,45.14,58.69,58.12,50.07,405821.17981048,2020-09-03
1599004800,56.77,63.18,62.66,58.12,261021.89575086,2020-09-02
1598918400,59.77,64.38,60.93,62.71,243590.37238101,2020-09-01
1598832000,60.59,63.73,62.9,60.93,158964.93459098,2020-08-31
1598745600,56.94,62.94,56.94,62.9,205877.39035288,2020-08-30
1598659200,56.95,58.2,57.4,56.95,91471.25516673,2020-08-29
1598572800,55.34,58.25,56.16,57.4,99285.15621213,2020-08-28
1598486400,53.98,59.27,58.09,56.15,177729.68057111,2020-08-27
1598400000,57.0,59.13,58.35,58.09,121801.91850844,2020-08-26
1598313600,56.63,62.32,62.05,58.38,170447.19342281,2020-08-25
1598227200,60.03,62.99,60.61,62.04,143649.87796524,2020-08-24
1598140800,58.08,61.61,60.28,60.62,160307.47038685,2020-08-23
1598054400,57.75,60.54,59.09,60.28,150189.28633804,2020-08-22
1597968000,58.77,63.87,62.82,59.09,253293.77485154,2020-08-21
1597881600,61.03,63.71,62.13,62.8,212675.27832847,2020-08-20
1597795200,58.76,67.15,65.45,62.12,399762.61609727,2020-08-19
