unix,low,high,open,close,volume,date
1540339200,51.7,52.59,52.1,51.85,62788.07343,10/24/2018
1540252800,51.4,52.49,51.68,52.1,64772.14783,10/23/2018
1540166400,51.4,52.49,52.23,51.67,68864.19027,10/22/2018
1540080000,52.03,53.11,52.83,52.23,50064.63595,10/21/2018
1539993600,52.08,53,52.5,52.83,53780.8402,10/20/2018
1539907200,51.47,53.12,51.73,52.5,83368.86586,10/19/2018
1539820800,51.01,53.39,52.81,51.73,82319.52738,10/18/2018
1539734400,52.25,53.24,53.1,52.81,103175.9429,10/17/2018
1539648000,52.54,54.23,53.52,53.1,112262.1717,10/16/2018
1539561600,51.01,56.77,51.37,53.55,306834.1876,10/15/2018
1539475200,51.1,53.35,53.07,51.36,69595.08474,10/14/2018
1539388800,52.52,53.85,53.03,53.05,76712.93601,10/13/2018
1539302400,50.15,53.43,50.55,53.03,140954.7717,10/12/2018
1539216000,50.04,57.49,57.49,50.55,379817.8107,10/11/2018
1539129600,56.85,58.46,58.45,57.49,94562.57314,10/10/2018
1539043200,58.02,59.4,59.25,58.43,60986.0374,10/9/2018
1538956800,57.36,59.79,57.9,59.24,104503.5668,10/8/2018
1538870400,56.85,58.22,57.71,57.9,54122.81896,10/7/2018
1538784000,56.7,58.67,58.47,57.7,61959.61823,10/6/2018
1538697600,57.23,59.45,57.99,58.47,85012.52223,10/5/2018
1538611200,57.08,58.91,57.25,58,90990.01854,10/4/2018
1538524800,56.55,59.32,59.2,57.25,142525.4678,10/3/2018
1538438400,58.6,61.3,60.21,59.2,110150.1855,10/2/2018
1538352000,59.22,61.8,61.05,60.22,143577.0823,10/1/2018
1569801600,52.51,56.45,53.9,56.09,143290.9201,9/30/2019
1569715200,52.18,55.66,55.53,53.91,93879.19853,9/29/2019
1569628800,53.86,56.49,56.05,55.53,105881.6817,9/28/2019
1569542400,52.61,56.9,55.2,56.05,152419.0671,9/27/2019
1569456000,50.25,57.63,57.53,55.21,338012.5872,9/26/2019
1569369600,53.06,58.61,55.49,57.53,312923.8306,9/25/2019
1569283200,55.2,67.37,66.47,55.5,473932.8249,9/24/2019
1569196800,61.75,74.12,72.25,66.47,225079.4202,9/23/2019
1569110400,71.02,73.25,73.19,72.26,64992.66071,9/22/2019
1569024000,72.04,75.5,75.07,73.18,70573.61917,9/21/2019
1568937600,72.91,77.2,76.83,75.1,132704.7321,9/20/2019
1568851200,72.58,77.78,77.78,76.82,231813.5916,9/19/2019
1568764800,74.09,80.26,74.16,77.75,250100.3736,9/18/2019
1568678400,72.18,77.66,72.74,74.13,186716.7922,9/17/2019
